,Address,,,,,,,,,,,,
Name,House Number,Street,City,Open Past 5,Open Weekends,Cats,Dogs,Others,Payment Plan,Full service,Low cost,Lat,Long
A Breed Apart,202,S Gammon Road,Madison,Y,N,Y,Y,,,Y,N,43.06412,-89.50412
All For Pets Veterinary Clinic,1009,N Gammon Road,Middleton,Y,Y,Y,Y,N,,Y,N,43.08409,-89.50158
And Dogs Too,2508,Allen Blvd,Middleton,N,N,Y,Y,Y,Y,Y,N,43.10143,-89.48737
Animal Hospital at Hillshore,2837,University Ave,Madison,Y,N,Y,Y,,Y,Y,N,43.07438,-89.43782
Animal Hospital of Sun Prairie,2125,McCoy Road,Sun Prairie,Y,N,Y,Y,N,Y,Y,N,43.17441,-89.24972
Animal Hospital of Verona,203,W Verona Ave,Verona,Y,N,Y,Y,Y,Y,Y,N,42.98987,-89.53574
Animart Veterinary Wellness Center,4303,East Towne Way,Madison,Y,Y,Y,Y,Y,,Y,Y,43.12188,-89.3066
AnShen Holistic Veterinary Care,3036,Laura Lane,Middleton,,,Y,Y,Y,,N,N,43.10711,-89.51477
Arbor Ridge Pet Clinic,2935,S Fish Hatchery Road,Fitchburg,Y,N,Y,Y,,Y,Y,N,43.01484,-89.42756
B&R Veterinary Clinic,532,Trail Side Drive,DeForest,Y,N,Y,Y,,,Y,N,43.25242,-89.36094
Back 2 Basics Veterinary Clinic,202,W Cottage Grove Road,Cottage Grove,Y,N,Y,Y,N,,N,N,43.08648,-89.20056
Banfield Pet Hospital East,2216,E Springs Drive,Madison,Y,Y,Y,Y,N,Y,Y,N,43.12858,-89.29646
Banfield Pet Hospital West,8210,Plaza Drive,Madison,Y,Y,Y,Y,N,Y,Y,N,43.05716,-89.52464
Beltline Animal Hospital,800,East Broadway,Madison,Y,N,Y,Y,,,Y,N,43.04788,-89.31691
Capital City Veterinary Clinic,3120,Edmonton Drive,Sun Prairie,Y,Y,Y,Y,Y,Y,Y,N,43.1887,-89.27765
Cat Care Clinic East,1006,E Washington Ave,Madison,Y,Y,Y,N,N,Y,Y,N,43.08386,-89.37159
Cat Care Clinic West,6722,Odana Road,Madison,Y,Y,Y,N,N,Y,Y,N,43.05685,-89.49846
Chalet Veterinary Clinic,1621,E Main Street,Stoughton,Y,Y,Y,Y,N,Y,Y,N,42.91827,-89.20126
Checkout Veterinary,2710,Prairie Lakes Dr,Sun Prairie,N,Y,Y,Y,N,,N,N,43.16667,-89.26615
