stfid,name,racewhite1620_est,raceaa1620_est,raceasian1620_est,raceamind1620_est,raceoth1620_est,hispanic1620_est,noncitizens1620_est,pubtrans1620_est,walkoth1620_est,medincacs1620_est,gini1620_est,noveh1620_est
55019950700,Census Tract 9507,96.2,0.3,0.8,0.4,1.5,0.7,0.5,0,4.6,52115,0.4264,9.8
55019950600,Census Tract 9506,95.1,0.1,0.3,0.2,1.2,3.1,1.7,0,8.8,57539,0.3853,11.3
55019950200,Census Tract 9502,89.8,0.1,0.2,0.2,2.4,7.3,2.7,0.1,10.2,55196,0.4382,11.9
55019950500,Census Tract 9505,94.7,0.5,0.1,0.2,2.2,2.3,1.5,0,5.8,56646,0.3966,6.8
55019950400,Census Tract 9504,96.5,0,0,0.3,2,1.2,0.3,0,11.1,53500,0.4139,9.2
55019950100,Census Tract 9501,77.1,0.5,0.2,0,3.9,18.4,5.4,0,3.7,51181,0.4402,6.8
55049950600,Census Tract 9506,94.9,1.7,0.8,0.8,0.9,0.9,0.7,0.8,4.3,58458,0.4382,3.6
55049950400,Census Tract 9504,96.9,0.1,1.1,0,0.7,1.1,0.5,0,4.3,66985,0.4081,3.4
55049950300,Census Tract 9503,94.2,0.2,0,0,0.3,5.3,1,0.2,7.6,62679,0.4402,3.5
55049950500,Census Tract 9505,92.4,1.2,0.8,0.2,2.5,3,0.7,0,2.8,83343,0.3942,1
55049950200,Census Tract 9502,96.5,1.2,0.4,0,1.5,0.3,0.9,0.8,3,58375,0.4701,5.7
55049950100,Census Tract 9501,91.5,0.8,0.6,0.4,5.7,1,0.4,0.3,1.7,76657,0.4207,2.7
55047100500,Census Tract 1005,97.3,0.5,0,0,1.4,0.8,0.3,0.1,6,57059,0.4407,9
55047100400,Census Tract 1004,97.9,0.6,0,0.2,0.4,1,0.7,0.4,5.8,63636,0.4489,3.1
55047100300,Census Tract 1003,93.8,1.3,0,0.2,2.7,2,0.6,0,1.2,51549,0.3895,3
55047100200,Census Tract 1002,93.7,0.7,0,0.4,1.5,3.8,1.2,0,3.9,51750,0.3822,17.4
55047100100,Census Tract 1001,79.6,0,1.7,0.5,0.3,17.9,2.7,0.3,4,63203,0.408,5.2
55051180300,Census Tract 1803,96.4,0.3,0.2,0.4,0.5,2.3,0.5,0.6,5.7,52222,0.3863,1
55051180100,Census Tract 1801,93.9,0.2,0.8,1.9,2,1.1,0.7,0.3,6,35658,0.4747,11.2
55051180200,Census Tract 1802,96.5,0,0.1,0.7,2.3,0.4,0,0.3,2.9,56771,0.3748,1.7
55055101702,Census Tract 1017.02,98.6,0,0.5,0,0,0.9,0.3,0,1.8,87147,0.3318,2.2
55055100200,Census Tract 1002,87.5,0.5,0,0.9,1.3,9.8,0.3,0.1,4.3,48431,0.3715,14.8
55055100100,Census Tract 1001,93.2,0,0,0,3.3,3.4,0.6,0.6,4,62656,0.3728,3
55055100400,Census Tract 1004,86.7,0.1,0.6,0,5.9,6.6,0.8,0.2,5.4,69973,0.4313,6.9
55057100200,Census Tract 1002,92.9,0.7,0.5,0.2,1.2,4.5,0.2,0.1,5.6,59036,0.4293,1.7
55057100400,Census Tract 1004,88,6.3,1.1,1.8,1.5,1.3,1.3,0.1,6.6,47941,0.4776,3.5
55057100100,Census Tract 1001,89.5,0.4,0.2,0.9,2.1,6.9,2.1,0.2,5,53413,0.4179,5.3
55055101400,Census Tract 1014,80.4,2,1.3,0,3.8,12.5,2.8,0,2.2,62736,0.4436,7.8
55055101300,Census Tract 1013,92.5,1.2,1.1,0,2.9,2.3,0.6,0.1,6.8,79792,0.387,4.1
55055100900,Census Tract 1009,93.8,0,0.7,0,0.6,4.9,0.5,2.2,1.5,70259,0.4564,2
55055101701,Census Tract 1017.01,94.4,0.1,0.7,0,0.1,4.6,3.4,0,2,87632,0.3629,1.6
55055100800,Census Tract 1008,94.4,0,0.1,0.2,1.1,4.2,0.3,0,1.9,79879,0.357,1.3
55055101600,Census Tract 1016,86.3,1.6,0.3,0.1,1.8,9.8,1,0,14.8,65919,0.4279,6.9
55055100601,Census Tract 1006.01,98.1,0,0.2,0,0,1.7,0.7,0,1.4,107375,0.4078,0
55055101000,Census Tract 1010,85.7,0.6,0.8,0,4.4,8.4,1.6,0,4.3,62941,0.4182,4.5
55055100700,Census Tract 1007,91.4,1.1,1.8,0,1.1,4.6,3,0.1,4.1,81293,0.395,1
55055100602,Census Tract 1006.02,96.8,0.6,0.2,0,1.3,1,0.3,0,1.3,78767,0.426,0.9
55055101201,Census Tract 1012.01,87,2.3,0.2,0,1.1,9.4,5.9,0.6,3.8,70221,0.4965,1.5
55055100500,Census Tract 1005,85.6,0.5,0.7,0,1.3,12,4.8,0,6.9,71146,0.3592,2.3
55015020600,Census Tract 206,94.7,0.3,1.6,1.2,0.1,2.2,0.1,0.1,2.7,61865,0.3533,4.4
55083100700,Census Tract 1007,93.6,0.2,0.3,1.8,1.2,2.9,0.8,0.5,9.1,48934,0.3876,6.7
55083100600,Census Tract 1006,91.2,0,0,4.7,1.7,2.5,0.8,0,5,55769,0.3965,2.3
55083100300,Census Tract 1003,98.4,0,0,0.4,0.6,0.6,0,0,0.5,53679,0.3961,1.6
55083100900,Census Tract 1009,90.2,1,2,1.7,1.2,3.9,0.1,0,3.5,57736,0.3636,4.5
55093960600,Census Tract 9606,95,0.1,1,0.2,1.9,1.8,0.9,0.1,2.3,83986,0.4,1.2
55093960700,Census Tract 9607,93.3,0.5,0.1,0,2.3,3.8,1.5,0.2,1.2,75083,0.3677,3.3
55093960300,Census Tract 9603,89.1,1.4,3.2,0.7,2.8,2.8,3.3,0,16.4,67500,0.3945,4.1
55093960100,Census Tract 9601,92.9,0.1,0.7,0,4.2,2.2,0.3,0,6.4,61667,0.3676,3.9
55093960800,Census Tract 9608,97.2,0.1,0.1,0.1,0.5,2.1,0.5,0,4.9,70136,0.3727,1.5
55093960200,Census Tract 9602,95.1,0.6,0.1,0.4,1.6,2.1,0.7,0.2,4.7,77122,0.3586,1.9
55093960500,Census Tract 9605,93.6,1,0.2,0.1,3,2.2,0.2,0.1,1.9,86838,0.3942,1.1
