OBJECTID,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Length,Shape_Area,racewhite1620_est,raceaa1620_est,raceasian1620_est,raceamind1620_est,raceoth1620_est,hispanic1620_est,noncitizens1620_est,pubtrans1620_est,walkoth1620_est,medincacs1620_est,gini1620_est,noveh1620_est
1,55,025,001902,55025001902,19.02,Census Tract 19.02,G5020,S,694532,0,+43.0912375,-089.3545551,3848.123229,694605.7606,88.1,0,8.9,0,0.6,2.4,3,21.9,20.4,75625,0.4215,4.4
2,55,025,000506,55025000506,5.06,Census Tract 5.06,G5020,S,1679640,0,+43.0227713,-089.4798422,6618.576921,1679983.384,65.7,20.4,1.3,0,6.2,6.4,2.7,3.3,2.8,52598,0.3785,9.4
3,55,025,011407,55025011407,114.07,Census Tract 114.07,G5020,S,15520182,56815,+43.0579078,-089.2633050,18741.67762,15577547.74,87.5,4.4,2.5,0.2,4.1,1.4,0.7,1.3,6.8,57479,0.4487,1.9
4,55,025,001405,55025001405,14.05,Census Tract 14.05,G5020,S,8084602,50632,+43.0202317,-089.4011494,12978.16345,8136429.575,81.9,3.5,4.8,0,0.6,9.3,8.4,3.2,3.6,80792,0.3595,4.8
5,55,025,010504,55025010504,105.04,Census Tract 105.04,G5020,S,2915726,0,+43.0172547,-089.2970964,7850.325336,2915908.899,92.5,5.3,0,0,2.2,0,1.2,0,4.3,71975,0.2882,0.8
6,55,025,012003,55025012003,120.03,Census Tract 120.03,G5020,S,10790395,0,+43.0924117,-089.2160320,15539.63969,10790400.46,86.6,0.6,3.2,0,4.5,5,0.9,0,1.5,102131,0.3342,0.9
7,55,025,011403,55025011403,114.03,Census Tract 114.03,G5020,S,3229356,0,+43.0947370,-089.2570723,7248.982206,3229450.973,76,3.9,6.8,0.6,3.2,9.5,0.3,1,0.9,105625,0.3924,0.8
8,55,025,011406,55025011406,114.06,Census Tract 114.06,G5020,S,3250502,0,+43.0944273,-089.2762178,7207.899866,3250647.05,82.7,2.2,10.2,0,1.2,3.7,1.6,0.5,0.6,88789,0.3005,7.5
9,55,025,010908,55025010908,109.08,Census Tract 109.08,G5020,S,66524838,427049,+43.1378264,-089.5569427,35328.80215,66969941.9,85.9,0.7,10.4,0.8,1.9,0.4,4.6,0,3.9,114015,0.4466,0.6
10,55,025,000410,55025000410,4.10,Census Tract 4.10,G5020,S,1453114,600,+43.0543220,-089.5066088,5100.572324,1454045.116,50.5,3.8,10.9,2.4,21,11.3,17.8,1.1,0,52360,0.2703,0
11,55,025,011507,55025011507,115.07,Census Tract 115.07,G5020,S,5678230,0,+43.2012204,-089.2443446,10295.00847,5678332.08,82.5,8.5,1.1,0,2.4,5.4,1.3,0,5.6,88505,0.3599,2.9
12,55,025,010905,55025010905,109.05,Census Tract 109.05,G5020,S,9519738,18724,+43.0580234,-089.5341228,17493.67814,9540892.942,74.1,1.3,13.6,0,2.6,8.3,8,1.7,0,85583,0.2947,3.3
13,55,025,011202,55025011202,112.02,Census Tract 112.02,G5020,S,61504100,358740,+43.1701679,-089.4891206,49335.8683,61875915.69,90.7,0,1.1,0.1,1.2,6.9,1.6,0.5,4.2,110536,0.4149,1.1
14,55,025,011508,55025011508,115.08,Census Tract 115.08,G5020,S,8930170,0,+43.2135428,-089.2332210,15305.52428,8930261.087,86.7,0.6,9.8,0,1.3,1.6,0.9,0,3,102692,0.3453,0
15,55,025,010906,55025010906,109.06,Census Tract 109.06,G5020,S,7095163,0,+43.0714593,-089.5551117,11225.04927,7097043.013,64.6,2.4,29.6,0,0.2,3.2,15.8,1.6,2.9,126046,0.4995,4.2
16,55,025,010801,55025010801,108.01,Census Tract 108.01,G5020,S,6678345,2744,+43.0050773,-089.5196730,10477.67172,6682665.737,77.5,3.1,6.2,0,1.1,12.2,3.9,1.4,2.7,97589,0.4242,2.6
17,55,025,000409,55025000409,4.09,Census Tract 4.09,G5020,S,2867086,44987,+43.0400888,-089.5116794,7865.026788,2912740.773,52.8,9,19.2,0,3,16,12.1,8.2,7.2,81667,0.4415,2.1
18,55,025,010503,55025010503,105.03,Census Tract 105.03,G5020,S,15238375,133446,+42.9971276,-089.2754814,19072.21369,15372450.25,91.1,1.4,4.1,0.1,0.8,2.5,0.9,0,1,107750,0.3962,0.7
19,55,025,013201,55025013201,132.01,Census Tract 132.01,G5020,S,177129955,1193645,+43.2540503,-089.4861564,62345.52714,178359483.7,89.9,0.4,0.2,0,0.5,9.1,1.5,0.1,4.8,103092,0.3685,1.6
20,55,025,000505,55025000505,5.05,Census Tract 5.05,G5020,S,1699506,0,+43.0226291,-089.4922166,6252.909241,1699872.418,69.7,3.4,2.5,0.3,2.9,21.1,5.2,2.6,1,74258,0.3809,4.9
21,55,025,013202,55025013202,132.02,Census Tract 132.02,G5020,S,63201821,296216,+43.2273910,-089.2817312,52285.09696,63501661.67,94.8,0.6,0.2,0,0.9,3.6,0.3,0.4,1.3,99102,0.4098,9.5
22,55,025,011201,55025011201,112.01,Census Tract 112.01,G5020,S,41546413,2022615,+43.1771279,-089.3745440,30324.67179,43574008.96,87.5,0.4,6.8,0,1.8,3.5,5.5,0,4.1,94986,0.369,1.4
23,55,025,011104,55025011104,111.04,Census Tract 111.04,G5020,S,9039984,90969,+43.1262836,-089.4965057,14739.90148,9132923.316,81.2,0.4,6.1,0.7,8.4,3.1,8.4,0.7,6.9,146382,0.408,0.8
24,55,025,010802,55025010802,108.02,Census Tract 108.02,G5020,S,10289490,7227,+43.0007192,-089.5520202,12703.30145,10299475.5,85.3,5.1,2.5,0,7.1,0,2.3,0,3.3,122982,0.2752,0
